first,firstbg,firsttext,second,secondbg,secondtext,third,thirdbg,thirdtext
Sweet,E55832,FFFFFF,Sweet aromatics,CF545F,FFFFFF,,,
Sweet,E55832,FFFFFF,Overall sweet,E65B68,FFFFFF,,,
Sweet,E55832,FFFFFF,Vanillin,F37674,FFFFFF,,,
Sweet,E55832,FFFFFF,Vanilla,F89A80,000000,,,
Sweet,E55832,FFFFFF,Brown sugar,D35A59,FFFFFF,Honey,DA5D1F,FFFFFF
Sweet,E55832,FFFFFF,Brown sugar,D35A59,FFFFFF,Caramelized,D78823,FFFFFF
Sweet,E55832,FFFFFF,Brown sugar,D35A59,FFFFFF,Maple Syrup,AE341F,FFFFFF
Sweet,E55832,FFFFFF,Brown sugar,D35A59,FFFFFF,Molasses,310D0F,FFFFFF
Nutty / Cocoa,A87B64,FFFFFF,Cocoa,BB764B,FFFFFF,Dark chocolate,470604,FFFFFF
Nutty / Cocoa,A87B64,FFFFFF,Cocoa,BB764B,FFFFFF,Chocolate,692A19,FFFFFF
Nutty / Cocoa,A87B64,FFFFFF,Nutty,C78869,FFFFFF,Almond,C89F83,FFFFFF
Nutty / Cocoa,A87B64,FFFFFF,Nutty,C78869,FFFFFF,Hazelnut,9D5433,FFFFFF
Nutty / Cocoa,A87B64,FFFFFF,Nutty,C78869,FFFFFF,Peanut,D4AD13,000000
Spices,AD213E,FFFFFF,Brown spice,B14D57,FFFFFF,Clove,A16C5A,FFFFFF
Spices,AD213E,FFFFFF,Brown spice,B14D57,FFFFFF,Cinnamon,E4772E,FFFFFF
Spices,AD213E,FFFFFF,Brown spice,B14D57,FFFFFF,Nutmeg,8C292C,FFFFFF
Spices,AD213E,FFFFFF,Brown spice,B14D57,FFFFFF,Anise,C78936,FFFFFF
Spices,AD213E,FFFFFF,Pepper,CB3D41,FFFFFF,,,
Spices,AD213E,FFFFFF,Pungent,794652,FFFFFF,,,
Roasted,C84930,FFFFFF,Cereal,DDB061,000000,Malt,EB9D5E,FFFFFF
Roasted,C84930,FFFFFF,Cereal,DDB061,000000,Grain,B7906F,FFFFFF
Roasted,C84930,FFFFFF,Burnt,BE8663,FFFFFF,"Brown, roast",894810,FFFFFF
Roasted,C84930,FFFFFF,Burnt,BE8663,FFFFFF,Smoky,A1743B,FFFFFF
Roasted,C84930,FFFFFF,Burnt,BE8663,FFFFFF,Ashy,899893,FFFFFF
Roasted,C84930,FFFFFF,Burnt,BE8663,FFFFFF,Acrid,B9A449,FFFFFF
Roasted,C84930,FFFFFF,Tobacco,DFBD7E,000000,,,
Roasted,C84930,FFFFFF,Pipe tobacco,CAA465,FFFFFF,,,
Other,09A2B5,FFFFFF,Chemical,76C0CB,000000,Rubber,120C0C,FFFFFF
Other,09A2B5,FFFFFF,Chemical,76C0CB,000000,Sunky,5E777B,FFFFFF
Other,09A2B5,FFFFFF,Chemical,76C0CB,000000,Petroleum,049EB8,FFFFFF
Other,09A2B5,FFFFFF,Chemical,76C0CB,000000,Medicinal,7B9CAF,FFFFFF
Other,09A2B5,FFFFFF,Chemical,76C0CB,000000,Salty,DEF2FD,000000
Other,09A2B5,FFFFFF,Chemical,76C0CB,000000,Bitter,80A89D,FFFFFF
Other,09A2B5,FFFFFF,Papery / Musty,9DB2B7,FFFFFF,Phenolic,DB646A,FFFFFF
Other,09A2B5,FFFFFF,Papery / Musty,9DB2B7,FFFFFF,Meaty Brothy,CC7B6A,FFFFFF
Other,09A2B5,FFFFFF,Papery / Musty,9DB2B7,FFFFFF,Animalic,9D977F,FFFFFF
Other,09A2B5,FFFFFF,Papery / Musty,9DB2B7,FFFFFF,Musty / Earthy,978847,FFFFFF
Other,09A2B5,FFFFFF,Papery / Musty,9DB2B7,FFFFFF,Musty / Dusty,C9B583,FFFFFF
Other,09A2B5,FFFFFF,Papery / Musty,9DB2B7,FFFFFF,Moldy / Damp,A3A36F,FFFFFF
Other,09A2B5,FFFFFF,Papery / Musty,9DB2B7,FFFFFF,Woody,744E02,FFFFFF
Other,09A2B5,FFFFFF,Papery / Musty,9DB2B7,FFFFFF,Papery,FEFEF4,000000
Other,09A2B5,FFFFFF,Papery / Musty,9DB2B7,FFFFFF,Cardboard,BEB276,FFFFFF
Other,09A2B5,FFFFFF,Papery / Musty,9DB2B7,FFFFFF,Stale,8B8C90,FFFFFF
Green / Vegetative,197A2F,FFFFFF,Beany,5E9A81,FFFFFF,,,
Green / Vegetative,197A2F,FFFFFF,Green / Vegetative,3AA255,FFFFFF,Herb-like,7AC141,FFFFFF
Green / Vegetative,197A2F,FFFFFF,Green / Vegetative,3AA255,FFFFFF,Hay-like,A3A830,FFFFFF
Green / Vegetative,197A2F,FFFFFF,Green / Vegetative,3AA255,FFFFFF,Vegetative,29B34B,FFFFFF
Green / Vegetative,197A2F,FFFFFF,Green / Vegetative,3AA255,FFFFFF,Dark green,048449,FFFFFF
Green / Vegetative,197A2F,FFFFFF,Green / Vegetative,3AA255,FFFFFF,Fresh,03A653,FFFFFF
Green / Vegetative,197A2F,FFFFFF,Green / Vegetative,3AA255,FFFFFF,Peapod,62AA3C,FFFFFF
Green / Vegetative,197A2F,FFFFFF,Green / Vegetative,3AA255,FFFFFF,Under-ripe,A2BB29,FFFFFF
Green / Vegetative,197A2F,FFFFFF,Raw,708933,FFFFFF,,,
Green / Vegetative,197A2F,FFFFFF,Olive Oil,A2B028,FFFFFF,,,
Sour / Fermented,EBB40E,000000,Alchohol / Fermented,B09733,FFFFFF,Overripe,8B6439,FFFFFF
Sour / Fermented,EBB40E,000000,Alchohol / Fermented,B09733,FFFFFF,Fermented,BA9230,FFFFFF
Sour / Fermented,EBB40E,000000,Alchohol / Fermented,B09733,FFFFFF,Whiskey,B34139,FFFFFF
Sour / Fermented,EBB40E,000000,Alchohol / Fermented,B09733,FFFFFF,Winey,8F1D53,FFFFFF
Sour / Fermented,EBB40E,000000,Sour,E1C315,000000,Malic acid,C1BA05,FFFFFF
Sour / Fermented,EBB40E,000000,Sour,E1C315,000000,Citric acid,FAF007,000000
Sour / Fermented,EBB40E,000000,Sour,E1C315,000000,Isovaleric acid,8EB646,FFFFFF
Sour / Fermented,EBB40E,000000,Sour,E1C315,000000,Butyric acid,D0B34E,FFFFFF
Sour / Fermented,EBB40E,000000,Sour,E1C315,000000,Acetic acid,94A76F,FFFFFF
Sour / Fermented,EBB40E,000000,Sour,E1C315,000000,Sour aromatics,9EA718,FFFFFF
Fruity,D91D23,FFFFFF,Citrus fruit,F7A128,000000,Lime,7EB138,FFFFFF
Fruity,D91D23,FFFFFF,Citrus fruit,F7A128,000000,Lemon,FDE406,000000
Fruity,D91D23,FFFFFF,Citrus fruit,F7A128,000000,Orange,E26223,FFFFFF
Fruity,D91D23,FFFFFF,Citrus fruit,F7A128,000000,Grapefruit,F26355,FFFFFF
Fruity,D91D23,FFFFFF,Other fruit,F1694B,FFFFFF,Pear,BAA634,FFFFFF
Fruity,D91D23,FFFFFF,Other fruit,F1694B,FFFFFF,Peach,F68A5C,FFFFFF
Fruity,D91D23,FFFFFF,Other fruit,F1694B,FFFFFF,Apple,4EB947,FFFFFF
Fruity,D91D23,FFFFFF,Other fruit,F1694B,FFFFFF,Grape,AEB92C,FFFFFF
Fruity,D91D23,FFFFFF,Other fruit,F1694B,FFFFFF,Pineapple,F89B1C,FFFFFF
Fruity,D91D23,FFFFFF,Other fruit,F1694B,FFFFFF,Pomegranate,E65656,FFFFFF
Fruity,D91D23,FFFFFF,Other fruit,F1694B,FFFFFF,Cherry,E73551,FFFFFF
Fruity,D91D23,FFFFFF,Other fruit,F1694B,FFFFFF,Coconut,D07C36,FFFFFF
Fruity,D91D23,FFFFFF,Dried fruit,C94A45,FFFFFF,Prune,A5446F,FFFFFF
Fruity,D91D23,FFFFFF,Dried fruit,C94A45,FFFFFF,Raisin,B53B54,FFFFFF
Fruity,D91D23,FFFFFF,Berry,DD4C51,FFFFFF,Strawberry,EE2D36,FFFFFF
Fruity,D91D23,FFFFFF,Berry,DD4C51,FFFFFF,Blueberry,6569B0,FFFFFF
Fruity,D91D23,FFFFFF,Berry,DD4C51,FFFFFF,Raspberry,E52A69,FFFFFF
Fruity,D91D23,FFFFFF,Berry,DD4C51,FFFFFF,Blackberry,3E0317,FFFFFF
Floral,DA0E69,FFFFFF,Floral,E0719C,FFFFFF,Jasmine,F7F1BC,000000
Floral,DA0E69,FFFFFF,Floral,E0719C,FFFFFF,Rose,EF5A78,FFFFFF
Floral,DA0E69,FFFFFF,Floral,E0719C,FFFFFF,Chamomile,F89E1B,FFFFFF
Floral,DA0E69,FFFFFF,Black tea,975E6D,FFFFFF,,,
